"","Player","Span","Mat","Start","Sub","Pts","Tries","Conv","Pens","Drop","GfM","Won","Lost","Draw","%"
"7557","CJ London (USA)","2014-2016",6,3,3,"15",3,0,0,0,0,3,3,0,50
"7558","A Loury (Fra)","1927-1928",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7559","F Luscombe (Eng)","1872-1876",6,6,0,"0G",0,0,0,0,0,4,0,2,83.33
"7560","TR Lyle (Ire)","1885-1887",6,6,0,"0G",0,0,0,0,0,1,5,0,16.66
"7561","P MacArthur (Scot)","2013-2014",6,1,5,"0",0,0,0,0,0,3,3,0,50
"7562","IG McCrae (Scot)","1967-1972",6,5,1,"0",0,0,0,0,0,2,4,0,33.33
"7563","RJ McCusker (Wales)","2010-2013",6,1,5,"0",0,0,0,0,0,1,5,0,16.66
"7564","I Macdonald (SA)","1992-1995",6,5,1,"0",0,0,0,0,0,2,3,1,41.66
"7565","KR Macdonald (Scot)","1956-1957",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7566","R Macdonald (Lions/Scot)","1950-1950",6,6,0,"6",2,0,0,0,0,3,2,1,58.33
"7567","B McGrattan (NZ)","1983-1986",6,6,0,"0",0,0,0,0,0,2,2,2,50
"7568","N Macias Gimeno (Spain)","2001-2002",6,2,4,"34",4,4,1,1,0,3,3,0,50
"7569","H Macieira Pires (Port)","1979-1982",6,6,0,"0",0,0,0,0,0,4,2,0,66.66
"7570","I MacIntyre (Scot)","1890-1891",6,6,0,"0",0,0,0,0,0,5,1,0,83.33
"7571","DJ McIvor (Scot)","1992-1994",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7572","GR McKay (Aust)","1920-1922",6,6,0,"9",3,0,0,0,0,1,5,0,16.66
"7573","E McKeating (Scot)","1957-1961",6,6,0,"0",0,0,0,0,0,4,2,0,66.66
"7574","DD Mackenzie (Scot)","1947-1948",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7575","WA McKid (Aust)","1976-1979",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7576","OG Mackie (Eng/GB)","1896-1898",6,6,0,"7",1,0,0,1,0,4,2,0,66.66
"7577","A MacKinnon (Scot)","1898-1900",6,6,0,"0",0,0,0,0,0,3,1,2,66.66
"7578","LM MacLeod (Scot)","1904-1905",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7579","JR McNab (NZ)","1949-1950",6,6,0,"0",0,0,0,0,0,2,3,1,41.66
"7580","JJ McPartlin (Scot)","1960-1962",6,6,0,"0",0,0,0,0,0,2,3,1,41.66
"7581","GTP McSullea (Port)","2017-2018",6,5,1,"0",0,0,0,0,0,3,3,0,50
"7582","HT Maddock (Wales)","1906-1910",6,6,0,"18",6,0,0,0,0,4,2,0,66.66
"7583","JD Madeira (Port)","2019-2020",6,5,1,"0",0,0,0,0,0,3,3,0,50
"7584","S Mafi (Tonga)","1988-1993",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7585","FJ Mahamud Vaquero (Spain)","2000-2002",6,2,4,"0",0,0,0,0,0,2,4,0,33.33
"7586","GT Mainwaring (Wales)","1967-1968",6,6,0,"0",0,0,0,0,0,1,4,1,25
"7587","J Malaguradze (Ukr)","2011-2012",6,6,0,"10",2,0,0,0,0,1,5,0,16.66
"7588","A Malet Raga (Spain)","1997-1999",6,4,2,"0",0,0,0,0,0,3,3,0,50
"7589","K Mano (JPN)","1956-1958",6,6,0,"0",0,0,0,0,0,0,6,0,0
"7590","E Manu (Tonga)","1996-1999",6,6,0,"5",1,0,0,0,0,2,4,0,33.33
"7591","TLL Manu (Tonga)","2018-2019",6,3,3,"0",0,0,0,0,0,3,3,0,50
"7592","M Manukia (Tonga)","1993-1994",6,5,1,"5",1,0,0,0,0,2,4,0,33.33
"7593","J Marchand (Fra)","2018-2020",6,4,2,"0",0,0,0,0,0,3,3,0,50
"7594","E Marculescu (Rom)","1936-1940",6,5,1,"3",1,0,0,0,0,1,4,1,25
"7595","S Maris (Rom)","2010-2010",6,4,2,"5",1,0,0,0,0,5,1,0,83.33
"7596","L Martin (Fra)","1948-1950",6,6,0,"0",0,0,0,0,0,3,3,0,50
"7597","MC Martin (Aust)","1980-1981",6,5,1,"8",2,0,0,0,0,4,2,0,66.66
"7598","ML Martin (Zimb)","1987-1991",6,6,0,"0",0,0,0,0,0,0,6,0,0
"7599","J Massare (Fra)","1945-1946",6,6,0,"3",1,0,0,0,0,4,2,0,66.66
"7600","B Mast (Neth)","2001-2002",6,5,1,"0",0,0,0,0,0,0,6,0,0
"7601","A Matanibukaca (Fiji)","1932-1934",6,6,0,"19",2,5,1,0,0,5,1,0,83.33
"7602","F Mau (JPN)","2004-2004",6,4,2,"0",0,0,0,0,0,2,4,0,33.33
"7603","J Mauran (Fra)","1952-1953",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7604","MA Mayerhofler (NZ)","1998-1998",6,6,0,"10",2,0,0,0,0,2,4,0,33.33
"7605","J Mazariegos Luelmo (Spain)","1990-1992",6,6,0,"0",0,0,0,0,0,0,6,0,0
"7606","RW Meadows (Aust)","1958-1958",6,6,0,"0",0,0,0,0,0,2,3,1,41.66
"7607","AWD Meares (GB/Ire)","1896-1900",6,6,0,"0",0,0,0,0,0,3,3,0,50
"7608","G Meek (Neth)","2001-2002",6,5,1,"8",0,1,2,0,0,0,6,0,0
"7609","TC Melrose (Aust)","1978-1979",6,6,0,"11",0,1,0,3,0,3,3,0,50
"7610","E Melville (Fra)","1990-1991",6,5,1,"0",0,0,0,0,0,3,3,0,50
"7611","FJ Mendez (Arg)","1991-1992",6,6,0,"63",1,17,8,0,0,6,0,0,100
"7612","A Menini (Fra)","2014-2015",6,5,1,"0",0,0,0,0,0,3,3,0,50
"7613","I Mieres (Arg)","2007-2012",6,5,1,"32",2,11,0,0,0,6,0,0,100
"7614","JN Millar (Scot)","1892-1895",6,6,0,"2",1,0,0,0,0,4,2,0,66.66
"7615","WA Millar (SA)","1906-1913",6,6,0,"6",2,0,0,0,0,4,1,1,75
"7616","A Miller (Urug)","1969-1973",6,6,0,"3",1,0,0,0,0,3,3,0,50
"7617","JM Miller (Aust)","1962-1967",6,6,0,"0",0,0,0,0,0,3,3,0,50
"7618","KJ Min (Korea)","2003-2017",6,5,1,"0",0,0,0,0,0,0,6,0,0
"7619","F Mitchell (Eng)","1895-1896",6,6,0,"5",1,1,0,0,0,3,3,0,50
"7620","K Moala (Tonga)","1959-1967",6,6,0,"0",0,0,0,0,0,2,3,1,41.66
"7621","P Moala (Tonga)","1982-1987",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7622","S Mocanu (Rom)","1996-2000",6,2,4,"0",0,0,0,0,0,5,1,0,83.33
"7623","S Mohi (Tonga)","1986-1987",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7624","T Moldoveanu (Rom)","1937-1940",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7625","A Montgomery (USA)","1986-1989",6,4,2,"0",0,0,0,0,0,1,5,0,16.66
"7626","G Morelli (Italy)","1981-1984",6,5,1,"0",0,0,0,0,0,4,2,0,66.66
"7627","S Morfitt (Eng)","1894-1896",6,6,0,"9",3,0,0,0,0,2,4,0,33.33
"7628","E Morgan (A-W/Wales)","1908-1914",6,6,0,"0",0,0,0,0,0,3,2,1,58.33
"7629","ME Morgan (GB/Wales)","1938-1939",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7630","JCM Moroney (Ire)","1968-1969",6,6,0,"20",1,4,3,0,0,5,1,0,83.33
"7631","DP Morris (Ire)","1931-1935",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7632","MR Mostyn (Ire)","1999-1999",6,6,0,"15",3,0,0,0,0,3,3,0,50
"7633","B Mota (Port)","2000-2006",6,0,6,"0",0,0,0,0,0,3,3,0,50
"7634","HEL Mo'ungaloa (USA)","2017-2018",6,3,3,"5",1,0,0,0,0,5,1,0,83.33
"7635","R Muik (HK)","1996-1997",6,5,1,"63",0,6,17,0,0,3,3,0,50
"7636","M Mukoyama (JPN)","2004-2004",6,3,3,"10",2,0,0,0,0,1,4,1,25
"7637","GP Muller (SA)","2003-2003",6,5,1,"5",1,0,0,0,0,2,4,0,33.33
"7638","JGMW Murphy (Ire)","1951-1958",6,6,0,"5",0,1,1,0,0,1,5,0,16.66
"7639","T Na'aniumotu (Tonga)","2006-2010",6,5,1,"0",0,0,0,0,0,4,2,0,66.66
"7640","S Nacolai (Fiji)","1968-1969",6,5,1,"18",6,0,0,0,0,3,3,0,50
"7641","S Naiteqe (Fiji)","2000-2001",6,5,1,"0",0,0,0,0,0,4,2,0,66.66
"7642","S Nakamura (JPN)","2009-2010",6,4,2,"0",0,0,0,0,0,5,1,0,83.33
"7643","K Nalatu (Fiji)","1967-1973",6,6,0,"3",1,0,0,0,0,1,3,2,33.33
"7644","R Nanu (Rom)","1952-1957",6,5,1,"3",1,0,0,0,0,4,2,0,66.66
"7645","D Nash (Wales)","1960-1962",6,6,0,"0",0,0,0,0,0,3,3,0,50
"7646","LC Nash (Ire)","1889-1891",6,6,0,"0",0,0,0,0,0,0,5,1,8.33
"7647","V Nastase (Rom)","1985-1986",6,6,0,"3",0,0,1,0,0,4,2,0,66.66
"7648","K Natoba (Fiji)","2000-2001",6,4,2,"15",3,0,0,0,0,5,1,0,83.33
"7649","RG Neagu (Rom)","2014-2020",6,2,4,"0",0,0,0,0,0,3,3,0,50
"7650","RT Neilson (Scot)","1898-1900",6,6,0,"0",0,0,0,0,0,2,1,3,58.33
"7651","BG Nelmes (Eng)","1975-1978",6,6,0,"4",1,0,0,0,0,2,4,0,33.33
"7652","CJ Newbold (Eng)","1904-1905",6,6,0,"0",0,0,0,0,0,1,4,1,25
"7653","CM Neyra (Arg)","1975-1983",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7654","SF Ngauamo (Tonga)","1997-2003",6,5,1,"5",1,0,0,0,0,1,5,0,16.66
"7655","S Ngubane (Germ)","2018-2019",6,3,3,"0",0,0,0,0,0,0,6,0,0
"7656","JL Nicola (Urug)","1979-1981",6,6,0,"28",7,0,0,0,0,5,0,1,91.66
"7657","ANT Nikoro (Samoa)","2016-2017",6,5,1,"0",0,0,0,0,0,2,3,1,41.66
"7658","S Nishigaki (JPN)","1932-1936",6,6,0,"0",0,0,0,0,0,3,2,1,58.33
"7659","JC Noble (Fra)","1968-1968",6,6,0,"0",0,0,0,0,0,3,3,0,50
"7660","WB Norton (Wales)","1882-1884",6,6,0,"0G",1,0,0,0,0,2,4,0,33.33
"7661","S Notshe (SA)","2018-2018",6,1,5,"0",0,0,0,0,0,3,3,0,50
"7662","PE O'Brien-Butler (Ire)","1897-1900",6,6,0,"0",0,0,0,0,0,3,3,0,50
"7663","P O'Connell (Ire)","1913-1914",6,6,0,"0",0,0,0,0,0,3,3,0,50
"7664","RC O'Donnell (Ire/Lions)","1979-1980",6,6,0,"0",0,0,0,0,0,4,2,0,66.66
"7665","TD O'Halloran (Ire)","2016-2017",6,3,3,"10",2,0,0,0,0,4,2,0,66.66
"7666","K Ohigashi (JPN)","1973-1974",6,6,0,"4",1,0,0,0,0,2,4,0,33.33
"7667","C Okezie (USA)","1979-1982",6,5,1,"0",0,0,0,0,0,0,5,1,8.33
"7668","NK Okubo (JPN)","2000-2000",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7669","S O'Leary (Can)","2004-2005",6,3,3,"0",0,0,0,0,0,3,3,0,50
"7670","M Olivares Pont (Spain)","2007-2007",6,3,3,"29",0,7,5,0,0,3,3,0,50
"7671","R Oliveri (Arg)","1960-1961",6,6,0,"34",1,14,1,0,0,3,3,0,50
"7672","J Olivier (Namib)","1999-2000",6,5,1,"10",2,0,0,0,0,4,2,0,66.66
"7673","I Oller Rodriguez (Spain)","1983-1990",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7674","DB O'Loughlin (Ire)","1938-1939",6,6,0,"3",1,0,0,0,0,2,4,0,33.33
"7675","WA O'Neill (Ire)","1952-1954",6,6,0,"0",0,0,0,0,0,2,3,1,41.66
"7676","WT Osborne (Wales)","1902-1903",6,6,0,"3",1,0,0,0,0,5,1,0,83.33
"7677","JP O'Shea (Lions/Wales)","1967-1968",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7678","B Oughtred (Eng)","1901-1903",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7679","GD Owen (Wales)","1955-1956",6,6,0,"26",0,7,4,0,0,5,1,0,83.33
"7680","JR Page (NZ)","1931-1934",6,6,0,"3",1,0,0,0,0,3,2,1,58.33
"7681","M Paisana (Port)","1981-1982",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7682","A Palma (Arg)","1949-1954",6,6,0,"3",1,0,0,0,0,0,5,1,8.33
"7683","C Panga (Can)","2016-2017",6,4,2,"10",2,0,0,0,0,3,3,0,50
"7684","S Papashvili (Georg)","2001-2007",6,1,5,"0",0,0,0,0,0,2,4,0,33.33
"7685","S Pardakhty Dokhany (Chile)","2013-2017",6,3,3,"10",2,0,0,0,0,1,5,0,16.66
"7686","LB Pardo Butina (Spain)","2012-2013",6,5,1,"10",2,0,0,0,0,2,3,1,41.66
"7687","N Pardo Iriondo (Urug)","1963-1967",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7688","AA Parkhill (NZ)","1937-1938",6,6,0,"3",1,0,0,0,0,4,2,0,66.66
"7689","JR Pascarel (Fra)","1912-1913",6,6,0,"0",0,0,0,0,0,0,6,0,0
"7690","J Pascot (Fra)","1922-1927",6,6,0,"3",1,0,0,0,0,0,4,2,16.66
"7691","HR Paul (Eng)","2002-2004",6,3,3,"6",0,3,0,0,0,4,2,0,66.66
"7692","H Peacock (Wales)","1929-1930",6,6,0,"6",2,0,0,0,0,4,1,1,75
"7693","R Pellerano Francia (Chile)","2010-2013",6,4,2,"0",0,0,0,0,0,1,5,0,16.66
"7694","D Penesini (Tonga)","1997-1999",6,6,0,"0",0,0,0,0,0,5,1,0,83.33
"7695","H Pepe (Urug)","1961-1967",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7696","A Pereira (Urug)","2004-2005",6,6,0,"17",2,2,0,1,0,4,2,0,66.66
"7697","MM Pereira (Port)","2006-2006",6,0,6,"0",0,0,0,0,0,2,3,1,41.66
"7698","VS Pereira (Port)","1973-1974",6,5,1,"0",0,0,0,0,0,3,2,1,58.33
"7699","J Perez Cobo (Arg)","1979-1981",6,6,0,"4",1,0,0,0,0,2,3,1,41.66
"7700","TG Perry (NZ)","2018-2018",6,0,6,"0",0,0,0,0,0,5,1,0,83.33
"7701","MS Pesamino (Samoa)","2009-2010",6,5,1,"35",7,0,0,0,0,5,1,0,83.33
"7702","J Peyrelongue (Fra)","2004-2004",6,2,4,"3",0,0,1,0,0,4,2,0,66.66
"7703","M Pfister (Arg)","1994-1998",6,5,1,"10",2,0,0,0,0,2,4,0,33.33
"7704","HP Phillips (Wales)","1892-1894",6,6,0,"0",0,0,0,0,0,4,2,0,66.66
"7705","G Piana (Italy)","1934-1938",6,6,0,"0",0,0,0,0,0,3,3,0,50
"7706","JP Piccardo (Arg/SthAm)","1980-1983",6,5,1,"28",1,6,4,0,0,3,3,0,50
"7707","RDA Pickering (Eng)","1967-1968",6,6,0,"0",0,0,0,0,0,3,3,0,50
"7708","A Pieroni (Urug)","1985-1989",6,3,3,"0",0,0,0,0,0,2,3,1,41.66
"7709","R Pigurina (Urug)","1985-1987",6,6,0,"0",0,0,0,0,0,3,2,1,58.33
"7710","U Pilla (Germ)","2014-2015",6,4,2,"5",1,0,0,0,0,1,5,0,16.66
"7711","A Pinto (Port)","1998-1999",6,5,1,"10",2,0,0,0,0,2,3,1,41.66
"7712","A Pipa (Germ)","2008-2010",6,2,4,"5",1,0,0,0,0,3,3,0,50
"7713","G Pirtskhalava (Georg)","1989-1997",6,3,3,"5",1,0,0,0,0,4,2,0,66.66
"7714","B Pizarro Cristi (Chile)","2012-2018",6,4,2,"3",0,0,1,0,0,0,6,0,0
"7715","P Pons (Fra)","1920-1922",6,6,0,"0",0,0,0,0,0,1,4,1,25
"7716","DJ Potgieter (SA)","2009-2010",6,2,4,"5",1,0,0,0,0,4,2,0,66.66
"7717","WS Prentice (Aust)","1908-1912",6,6,0,"3",0,0,1,0,0,3,3,0,50
"7718","RE Prescott (Eng)","1937-1939",6,6,0,"3",1,0,0,0,0,5,1,0,83.33
"7719","TW Price (Eng)","1948-1949",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7720","M Pulumu (Tonga)","1979-1981",6,6,0,"0",0,0,0,0,0,4,2,0,66.66
"7721","WDCL Purves (Scot)","1912-1913",6,6,0,"3",1,0,0,0,0,2,4,0,33.33
"7722","JWE Raaff (SA)","1903-1910",6,6,0,"3",1,0,0,0,0,2,1,3,58.33
"7723","S Rabitu (Fiji)","1932-1934",6,6,0,"0",0,0,0,0,0,5,1,0,83.33
"7724","AP Rademeyer (Namib)","2018-2019",6,3,3,"0",0,0,0,0,0,2,4,0,33.33
"7725","C Raffo (Italy)","1929-1937",6,6,0,"0",0,0,0,0,0,4,1,1,75
"7726","AR Ralph (Wales)","1931-1932",6,6,0,"17",3,0,0,2,0,4,2,0,66.66
"7727","RMN Ranger (NZ)","2010-2013",6,2,4,"5",1,0,0,0,0,6,0,0,100
"7728","P Rasiosateki (Fiji)","1963-1964",6,6,0,"9",0,0,2,1,0,3,3,0,50
"7729","TK Ratuva (Fiji)","2019-2019",6,3,3,"0",0,0,0,0,0,3,3,0,50
"7730","N Ratuveilawa (Fiji)","1961-1964",6,6,0,"13",3,2,0,0,0,5,1,0,83.33
"7731","P Ravaga (Fiji)","1926-1928",6,6,0,"0",0,0,0,0,0,3,3,0,50
"7732","E Rebelo (Port)","2009-2014",6,4,2,"0",0,0,0,0,0,1,5,0,16.66
"7733","CC Riechelmann (NZ)","1997-1997",6,0,6,"5",1,0,0,0,0,5,0,1,91.66
"7734","JM Ritchie (Scot)","1933-1934",6,6,0,"3",0,0,1,0,0,4,2,0,66.66
"7735","EW Roberts (Eng)","1901-1907",6,6,0,"0",0,0,0,0,0,0,6,0,0
"7736","J Rodriguez Garcia (Spain)","1985-1991",6,4,2,"0",0,0,0,0,0,0,6,0,0
"7737","D Rogers (HK)","2017-2018",6,5,1,"0",0,0,0,0,0,3,3,0,50
"7738","C Romero Moreno (Spain)","1972-1979",6,6,0,"4",1,0,0,0,0,1,4,1,25
"7739","Z Rossi (Italy)","1959-1962",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7740","E Rossini (Italy)","1948-1952",6,6,0,"6",2,0,0,0,0,3,3,0,50
"7741","NE Row (Aust)","1907-1910",6,6,0,"15",2,3,1,0,0,2,3,1,41.66
"7742","GD Rowlands (Can)","1995-1996",6,5,1,"0",0,0,0,0,0,1,5,0,16.66
"7743","MA Rowley (Wales)","1996-1997",6,6,0,"0",0,0,0,0,0,3,3,0,50
"7744","A Roy (Scot)","1938-1939",6,6,0,"0",0,0,0,0,0,3,3,0,50
"7745","EL Rudd (Eng)","1965-1966",6,6,0,"0",0,0,0,0,0,0,4,2,16.66
"7746","O Rudenok (Russ)","1993-1996",6,6,0,"0",0,0,0,0,0,5,1,0,83.33
"7747","J Rudolf (Czech)","2006-2008",6,4,2,"0",0,0,0,0,0,0,6,0,0
"7748","WG Rutherford (Ire)","1884-1888",6,6,0,"0G",0,0,0,0,0,1,5,0,16.66
"7749","JR Ryan (Aust)","1975-1976",6,6,0,"36",9,0,0,0,0,6,0,0,100
"7750","K Saifoloi (Samoa)","1979-1984",6,6,0,"0",0,0,0,0,0,1,4,1,25
"7751","K Salawa (Fiji)","2003-2003",6,4,2,"0",0,0,0,0,0,2,4,0,33.33
"7752","R Samo (Fiji)","2005-2006",6,2,4,"0",0,0,0,0,0,5,1,0,83.33
"7753","R Samuels (Fiji)","1973-1974",6,5,1,"0",0,0,0,0,0,1,5,0,16.66
"7754","VR Samuil (Rom)","2000-2002",6,3,3,"0",0,0,0,0,0,4,2,0,66.66
"7755","A Sanchez (Spain)","2015-2016",6,2,4,"0",0,0,0,0,0,2,4,0,33.33
"7756","MR Santos (Port)","1973-1974",6,6,0,"0",0,0,0,0,0,3,2,1,58.33
"7757","P Santos (Port)","2001-2005",6,2,4,"0",0,0,0,0,0,3,3,0,50
"7758","S Sanz (Arg)","2003-2007",6,6,0,"5",1,0,0,0,0,5,1,0,83.33
"7759","AV Satala (Fiji)","2005-2009",6,5,1,"0",0,0,0,0,0,3,3,0,50
"7760","V Satseradze (Georg)","1989-1992",6,4,2,"0",0,0,0,0,0,5,1,0,83.33
"7761","MH Sawicki (USA)","1990-1992",6,5,1,"0",0,0,0,0,0,3,3,0,50
"7762","D Scaglia (Italy)","1994-1999",6,6,0,"5",1,0,0,0,0,1,5,0,16.66
"7763","F Schacht (Arg)","1989-1990",6,6,0,"36",9,0,0,0,0,5,1,0,83.33
"7764","AM Schiavio (Arg)","1983-1987",6,5,1,"0",0,0,0,0,0,3,3,0,50
"7765","P Schliwa (Germ)","2009-2012",6,3,3,"0",0,0,0,0,0,4,2,0,66.66
"7766","M Scholz (Can)","2009-2012",6,5,1,"0",0,0,0,0,0,5,1,0,83.33
"7767","AG Schramm (Germ)","2017-2018",6,4,2,"15",3,0,0,0,0,4,2,0,66.66
"7768","S Selupe (Tonga)","1924-1928",6,6,0,"3",1,0,0,0,0,3,2,1,58.33
"7769","A Selvaggio (Italy)","1973-1973",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7770","G Senal (Fra)","1974-1975",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7771","B Serban (Rom)","1989-1992",6,6,0,"4",1,0,0,0,0,3,3,0,50
"7772","NB Seru (Fiji)","2003-2003",6,2,4,"0",0,0,0,0,0,3,3,0,50
"7773","E Setiano (Fra)","2019-2019",6,1,5,"0",0,0,0,0,0,4,2,0,66.66
"7774","UJ Seuteni (Samoa)","2019-2019",6,4,2,"11",0,1,3,0,0,2,4,0,33.33
"7775","A Seybel (Neth)","1998-2000",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7776","P Sguario (Italy)","1958-1962",6,6,0,"3",1,0,0,0,0,3,3,0,50
"7777","T Shanahan (Ire)","1885-1888",6,6,0,"0G",1,0,0,0,0,1,5,0,16.66
"7778","AV Sharp (Scot)","1994-1994",6,6,0,"0",0,0,0,0,0,0,5,1,8.33
"7779","CH Shaw (Eng)","1906-1907",6,6,0,"0",0,0,0,0,0,2,3,1,41.66
"7780","GD Shaw (Scot)","1935-1939",6,6,0,"7",0,2,1,0,0,1,5,0,16.66
"7781","BF Sherry (Ire)","1967-1968",6,6,0,"0",0,0,0,0,0,3,2,1,58.33
"7782","S Shimonura (JPN)","2004-2013",6,4,2,"5",0,1,1,0,0,4,2,0,66.66
"7783","K Shinozuka (JPN)","2008-2012",6,2,4,"10",2,0,0,0,0,5,1,0,83.33
"7784","M Sidorov (Russ)","2011-2016",6,1,5,"5",1,0,0,0,0,3,3,0,50
"7785","R Sierra (Urug)","2001-2002",6,4,2,"28",2,6,1,1,0,4,2,0,66.66
"7786","F Sililoto (Samoa)","1980-1982",6,6,0,"0",0,0,0,0,0,1,4,1,25
"7787","BMRA Silveira (Port)","2011-2012",6,4,2,"5",1,0,0,0,0,1,5,0,16.66
"7788","M Siman (Fra)","1948-1950",6,6,0,"0",0,0,0,0,0,2,3,1,41.66
"7789","ST Simiki (Tonga)","1924-1926",6,6,0,"3",1,0,0,0,0,3,2,1,58.33
"7790","I Simion (Rom)","1976-1980",6,6,0,"0",0,0,0,0,0,4,2,0,66.66
"7791","LN Simiyu (Kenya)","2016-2017",6,4,2,"15",3,0,0,0,0,3,3,0,50
"7792","AC Simoes (Port)","1995-2001",6,4,2,"0",0,0,0,0,0,3,3,0,50
"7793","RAPDS Simoes (Port)","2013-2017",6,5,1,"5",1,0,0,0,0,2,4,0,33.33
"7794","L Simonelli (Italy)","1956-1960",6,6,0,"3",1,0,0,0,0,3,3,0,50
"7795","F Sintich (Italy)","1980-1983",6,4,2,"0",0,0,0,0,0,2,4,0,33.33
"7796","RT Skrimshire (GB/Wales)","1899-1903",6,6,0,"3",1,0,0,0,0,1,3,2,33.33
"7797","FSC Slade (Samoa)","2006-2008",6,3,3,"0",0,0,0,0,0,3,3,0,50
"7798","M Slobozeanu (Rom)","1936-1938",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7799","GP Smal (SA)","1986-1989",6,6,0,"4",1,0,0,0,0,5,1,0,83.33
"7800","V Smirnov (Russ)","1997-2000",6,6,0,"0",0,0,0,0,0,6,0,0,100
"7801","AS Smith (SA)","2018-2019",6,5,1,"0",0,0,0,0,0,4,1,1,75
"7802","OJ Smith (Eng/Lions)","2003-2005",6,2,4,"5",1,0,0,0,0,4,1,1,75
"7803","TJ Smith (Aust)","2015-2017",6,1,5,"0",0,0,0,0,0,5,1,0,83.33
"7804","RS Smyth (GB/Ire)","1903-1904",6,6,0,"0",0,0,0,0,0,1,3,2,33.33
"7805","D Somerville (Scot)","1879-1884",6,6,0,"0G",2,0,0,0,0,5,1,0,83.33
"7806","M Sorondo (Fra)","1946-1948",6,6,0,"3",1,0,0,0,0,2,4,0,33.33
"7807","JB Soucek (Czech)","2005-2006",6,3,3,"0",0,0,0,0,0,3,3,0,50
"7808","O Sousa (Port)","1986-1987",6,6,0,"0",0,0,0,0,0,0,6,0,0
"7809","L Sperandio (Italy)","2017-2019",6,3,3,"0",0,0,0,0,0,1,5,0,16.66
"7810","M Stanaway (USA)","1997-1998",6,5,1,"0",0,0,0,0,0,1,5,0,16.66
"7811","T Stanfill (USA)","2014-2016",6,4,2,"10",2,0,0,0,0,1,5,0,16.66
"7812","J Steel (NZ)","1921-1925",6,6,0,"9",3,0,0,0,0,4,1,1,75
"7813","ERG Steere (NZ)","1930-1932",6,6,0,"0",0,0,0,0,0,4,2,0,66.66
"7814","GJ Stegmann (SA)","2010-2011",6,6,0,"0",0,0,0,0,0,3,3,0,50
"7815","OG Stephens (Aust/NZ)","1968-1974",6,6,0,"8",2,0,0,0,0,2,3,1,41.66
"7816","RC Stevenson (Scot)","1897-1899",6,6,0,"0",0,0,0,0,0,3,2,1,58.33
"7817","CF Strydom (SA)","1955-1958",6,6,0,"0",0,0,0,0,0,2,3,1,41.66
"7818","D Suarez (Urug)","1997-1998",6,6,0,"20",4,0,0,0,0,5,1,0,83.33
"7819","H Sugawara (JPN)","2000-2001",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
"7820","JL Sullivan (NZ)","1937-1938",6,6,0,"9",3,0,0,0,0,4,2,0,66.66
"7821","K Sullivan (HK)","2017-2019",6,3,3,"0",0,0,0,0,0,2,4,0,33.33
"7822","BI Sung (Korea)","1996-2002",6,6,0,"0",0,0,0,0,0,2,4,0,33.33
"7823","J Susu (Fiji)","1948-1952",6,6,0,"3",1,0,0,0,0,3,3,0,50
"7824","J Suta (Fra)","2012-2015",6,2,4,"0",0,0,0,0,0,3,3,0,50
"7825","CI Swanepoel (Namib)","2012-2015",6,4,2,"0",0,0,0,0,0,3,3,0,50
"7826","DW Swarbrick (Eng)","1947-1949",6,6,0,"0",0,0,0,0,0,2,3,1,41.66
"7827","AH Swift (Eng)","1981-1984",6,6,0,"0",0,0,0,0,0,1,3,2,33.33
"7828","IV Tabualevu (Fiji)","1958-1967",6,6,0,"27",1,0,8,0,0,4,1,1,75
"7829","S Tagivetaua (Fiji)","1981-1983",6,6,0,"4",1,0,0,0,0,4,1,1,75
"7830","K Takei (JPN)","2004-2006",6,3,3,"25",5,0,0,0,0,3,3,0,50
"7831","WG Tasker (Aust)","1913-1914",6,6,0,"0",0,0,0,0,0,1,5,0,16.66
